5.2C56,-,FLIN,Labor,Informatik,(101.05.2H16)
5.2C59,-,FLIN,Labor,Informatik,(101.05.2H19)
5.2D02,-,XINF,Infrastrukturraum,(101.05.2D02)
5.2D11,-,XINF,Infrastrukturraum,(101.05.2D11)
5.2P01,Forum,-,UNTR,Unterrichtsraum,(101.05.2P01)
5.2P90,-,XVKF,Verkehrsfläche,(101.05.2P90)
5.3A17,-,UNTR,Unterrichtsraum,(101.05.3A17)
5.3A76,-,XVKF,Verkehrsfläche,(101.05.3A76)
5.3B51,Learning-Lab,-,UNTR,Unterrichtsraum,(101.05.3H01)
5.3B53,Learning-Lab,-,UNTR,Unterrichtsraum,(101.05.3H03)
5.3C06,-,UNTR,Unterrichtsraum,(101.05.3C06)
5.3C08,-,UNTR,Unterrichtsraum,(101.05.3C08)
5.3C52,-,UNTR,Unterrichtsraum,(101.05.3H12)
5.3C54,-,UNTR,Unterrichtsraum,(101.05.3H14)
5.3C56,-,UNTR,Unterrichtsraum,(101.05.3H16)
5.3C59,Learning,Lab,-,UNTR,Unterrichtsraum,(101.05.3H19)
5.3D02,-,UNTR,Unterrichtsraum,(101.05.3D02)
5.3D11,-,UNTR,Unterrichtsraum,(101.05.3D11)
5.3P06,-,XEDU,Studienraum,(101.05.3P06)
5.3P90,-,XVKF,Verkehrsfläche,(101.05.3P90)
5.4A17,-,UNTR,Unterrichtsraum,(101.05.4A17)
5.4B51,-,UNTR,Unterrichtsraum,(101.05.4H01)
5.4B53,-,UNTR,Unterrichtsraum,(101.05.4H03)
5.4C06,-,UNTR,Unterrichtsraum,(101.05.4C06)
5.4C08,-,UNTR,Unterrichtsraum,(101.05.4C08)
5.4C52,-,UNTR,Unterrichtsraum,(101.05.4H12)
5.4C54,-,UNTR,Unterrichtsraum,(101.05.4H14)
5.4C56,-,UNTR,Unterrichtsraum,(101.05.4H16)
5.4C59,-,UNTR,Unterrichtsraum,(101.05.4H19)
5.4D02,-,UNTR,Unterrichtsraum,(101.05.4D02)
5.4D11,-,UNTR,Unterrichtsraum,(101.05.4D11)
5.4P06,-,XEDU,Studienraum,(101.05.4P06)
5.4P90,-,XVKF,Verkehrsfläche,(101.05.4P90)
6.-1D01,Campussaal,-,XEXT,Externe,Räume,(101.06.-1H01)
6.-1D09,Foyerraum,A,-,UNTR,Unterrichtsraum,(101.06.-1D09)
6.-1D13,Foyerraum,B,-,UNTR,Unterrichtsraum,(101.06.-1D13)
6.-1D95,-,XEXT,Externe,Räume,(101.06.-1H90)
6.0A03,Aktionsraum,-,XINF,Infrastrukturraum,(101.06.0A03)
6.0C97,-,XVKF,Verkehrsfläche,(101.06.0H93)
6.0D06,-,UNTR,Unterrichtsraum,(101.06.0D06)
6.0D09,Galerieraum,A,-,UNTR,Unterrichtsraum,(101.06.0D09)
6.0D13,Galerieraum,B,-,UNTR,Unterrichtsraum,(101.06.0D13)
6.0D30,-,XINF,Infrastrukturraum,(101.06.0D30)
6.0D96,Korridor,Galerie,-,XVKF,Verkehrsfläche,(101.06.0H90)
6.1A03,-,UNTR,Unterrichtsraum,(101.06.1A03)
6.1A06,-,UNTR,Unterrichtsraum,(101.06.1A06)
6.1A53,-,UNTR,Unterrichtsraum,(101.06.1H13)
6.1A55,-,UNTR,Unterrichtsraum,(101.06.1H15)
6.1B70,-,XVKF,Verkehrsfläche,(101.06.1B70)
6.1C01,-,SZIP,Sitzungszimmer,(101.06.1C01)
6.1C70,-,XVKF,Verkehrsfläche,(101.06.1C70)
6.1D30,-,SZIP,Sitzungszimmer,(101.06.1D30)
6.1D51,-,UNTR,Unterrichtsraum,(101.06.1H01)
6.1D53,-,UNTR,Unterrichtsraum,(101.06.1H03)
6.1D55,-,UNTR,Unterrichtsraum,(101.06.1H05)
6.1D57,-,UNTR,Unterrichtsraum,(101.06.1H07)
6.1D70,-,XVKF,Verkehrsfläche,(101.06.1D70)
6.2A03,-,UNTR,Unterrichtsraum,(101.06.2A03)
6.2A06,-,UNTR,Unterrichtsraum,(101.06.2A06)
6.2A08,-,UNTR,Unterrichtsraum,(101.06.2A08)
6.2A53,-,UNTR,Unterrichtsraum,(101.06.2H13)
6.2A55,-,UNTR,Unterrichtsraum,(101.06.2H15)
6.2B18,-,XINF,Infrastrukturraum,(101.06.2B18)
6.2C01,-,SZIP,Sitzungszimmer,(101.06.2C01)
6.2D51,-,UNTR,Unterrichtsraum,(101.06.2H01)
6.2D53,-,UNTR,Unterrichtsraum,(101.06.2H03)
6.2D55,-,UNTR,Unterrichtsraum,(101.06.2H05)
6.2D57,-,UNTR,Unterrichtsraum,(101.06.2H07)
6.3A03,Workshop-Raum,-,UNTR,Unterrichtsraum,(101.06.3A03)
6.3A06,-,UNTR,Unterrichtsraum,(101.06.3A06)
6.3A08,Multimedia,Experimentierraum,-,UNTR,Unterrichtsraum,(101.06.3A08)
6.3A53,-,UNTR,Unterrichtsraum,(101.06.3H13)
6.3A55,-,UNTR,Unterrichtsraum,(101.06.3H15)
6.3C01,-,SZIP,Sitzungszimmer,(101.06.3C01)
6.3C25,-,SZIP,Sitzungszimmer,(101.06.3C25)
6.3D30,Videoraum,-,SZIP,Sitzungszimmer,(101.06.3D30)
6.3D51,-,UNTR,Unterrichtsraum,(101.06.3H01)
6.3D53,-,UNTR,Unterrichtsraum,(101.06.3H03)
6.3D55,-,UNTR,Unterrichtsraum,(101.06.3H05)
6.3D57,-,UNTR,Unterrichtsraum,(101.06.3H07)
6.4A53,-,UNTR,Unterrichtsraum,(101.06.4H13)
6.4A55,-,UNTR,Unterrichtsraum,(101.06.4H15)
6.4B30,-,XEDU,Studienraum,(101.06.4H30)
6.4C01,-,SZIP,Sitzungszimmer,(101.06.4C01)
6.4C25,-,SZIP,Sitzungszimmer,(101.06.4C25)
6.4D51,-,UNTR,Unterrichtsraum,(101.06.4H01)
6.4D53,-,UNTR,Unterrichtsraum,(101.06.4H03)
6.4D55,-,UNTR,Unterrichtsraum,(101.06.4H05)
6.4D57,-,UNTR,Unterrichtsraum,(101.06.4H07)
